effect,component,term,estimate,std.error,statistic,p.value,ci_ub,ci_lb,scale,response,formula,sig,rsq_m,rsq_c,delta_aicc,delta_aic,delta_bic,alternative_hypothesis
fixed,cond,herbivore_biomass_kg_ha_scaled,0.0108427511318498,0.062927772895476,0.172304701611794,0.863197988283104,0.134181186006983,-0.112495683743283,plot,woody_richness_plot,woody_richness_plot ~ herbivore_biomass_kg_ha_scaled + herbivore_species_richness_scaled + n_trigger_events_day_scaled + (1 | reserve/site_ID),non significant,0.037,0.039,-3.10544763609119,-2.79102455916791,-12.6709390333417,none
fixed,cond,herbivore_species_richness_scaled,-0.0972992236669674,0.0594188164495635,-1.63751534414284,0.101522835495783,0.019161656574177,-0.213760103908112,plot,woody_richness_plot,woody_richness_plot ~ herbivore_biomass_kg_ha_scaled + herbivore_species_richness_scaled + n_trigger_events_day_scaled + (1 | reserve/site_ID),non significant,0.037,0.039,-3.10544763609119,-2.79102455916791,-12.6709390333417,none
fixed,cond,n_trigger_events_day_scaled,0.0011184555025874,0.0549324414423343,0.02036056423528,0.983755742504987,0.108786040729563,-0.106549129724388,plot,woody_richness_plot,woody_richness_plot ~ herbivore_biomass_kg_ha_scaled + herbivore_species_richness_scaled + n_trigger_events_day_scaled + (1 | reserve/site_ID),non significant,0.037,0.039,-3.10544763609119,-2.79102455916791,-12.6709390333417,none
fixed,cond,herbivore_biomass_kg_ha_scaled,0.122476950943883,0.0480190210265224,2.55059241787197,0.0107540007898583,0.216594232155867,0.0283596697318987,plot,plant_richness_plot,plant_richness_plot ~ herbivore_biomass_kg_ha_scaled + herbivore_species_richness_scaled + n_trigger_events_day_scaled + (1 | reserve/site_ID),significant,0.152,0.155,2.33097060929003,2.57908864602609,-7.98529410756078,none
fixed,cond,herbivore_species_richness_scaled,-0.0883003602935294,0.0478373207427631,-1.84584669296906,0.064914468625177,0.00546078836228625,-0.182061508949345,plot,plant_richness_plot,plant_richness_plot ~ herbivore_biomass_kg_ha_scaled + herbivore_species_richness_scaled + n_trigger_events_day_scaled + (1 | reserve/site_ID),non significant,0.152,0.155,2.33097060929003,2.57908864602609,-7.98529410756078,none
fixed,cond,n_trigger_events_day_scaled,0.0618070610307408,0.0323803613525848,1.90878231276462,0.0562901794647842,0.125272569281807,-0.00165844722032542,plot,plant_richness_plot,plant_richness_plot ~ herbivore_biomass_kg_ha_scaled + herbivore_species_richness_scaled + n_trigger_events_day_scaled + (1 | reserve/site_ID),non significant,0.152,0.155,2.33097060929003,2.57908864602609,-7.98529410756078,none
fixed,cond,herbivore_biomass_kg_ha_scaled,0.0897944458440485,0.0565886422223784,1.58679272584735,0.112559596866332,0.20070818459991,-0.0211192929118132,plot,graminoid_richness_plot,graminoid_richness_plot ~ herbivore_biomass_kg_ha_scaled + herbivore_species_richness_scaled + n_trigger_events_day_scaled + (1 | reserve/site_ID),non significant,0.063,0.068,-1.05905330380165,-0.810935267065588,-11.3753180206525,none
fixed,cond,herbivore_species_richness_scaled,0.00266881299131982,0.0574231782839801,0.0464762326132749,0.962930677238296,0.115218242427921,-0.109880616445281,plot,graminoid_richness_plot,graminoid_richness_plot ~ herbivore_biomass_kg_ha_scaled + herbivore_species_richness_scaled + n_trigger_events_day_scaled + (1 | reserve/site_ID),non significant,0.063,0.068,-1.05905330380165,-0.810935267065588,-11.3753180206525,none
fixed,cond,n_trigger_events_day_scaled,0.045750989348142,0.0354842956471874,1.28933063243058,0.197283165879342,0.115300208816629,-0.0237982301203453,plot,graminoid_richness_plot,graminoid_richness_plot ~ herbivore_biomass_kg_ha_scaled + herbivore_species_richness_scaled + n_trigger_events_day_scaled + (1 | reserve/site_ID),non significant,0.063,0.068,-1.05905330380165,-0.810935267065588,-11.3753180206525,none
fixed,cond,herbivore_biomass_kg_ha_scaled,0.257791390679615,0.129636784605682,1.98856668239452,0.0467490519579928,0.511879488506753,0.00370329285247756,plot,functional_richness_plot,functional_richness_plot ~ herbivore_biomass_kg_ha_scaled + herbivore_species_richness_scaled + n_trigger_events_day_scaled + (1 | reserve/site_ID),significant,0.054,0.073,-2.24533038980235,-1.94578577856942,-12.5101685321562,none
fixed,cond,herbivore_species_richness_scaled,-0.170485034107871,0.125842528189584,-1.35474895935842,0.175497553383591,0.0761663211437127,-0.417136389359455,plot,functional_richness_plot,functional_richness_plot ~ herbivore_biomass_kg_ha_scaled + herbivore_species_richness_scaled + n_trigger_events_day_scaled + (1 | reserve/site_ID),non significant,0.054,0.073,-2.24533038980235,-1.94578577856942,-12.5101685321562,none
