species,family,n_family
Abutilon angulatum,Malvaceae,29
Acanthospermum australe,Asteraceae,29
Achyranthes aspera,Amaranthaceae,5
Achyropsis leptostachya,Amaranthaceae,5
Acokanthera oppositifolia,Apocynaceae,9
Acrotome hispida,Lamiaceae,13
Aeollanthus buchnerianus,Lamiaceae,13
Afrosolen sandersonii,Iridaceae,3
Agathisanthemum bojeri,Rubiaceae,14
Agrostis lachnantha,Poaceae,87
Albuca glauca,Asparagaceae,17
Albuca seineri,Asparagaceae,17
Alloteropsis semialata,Poaceae,87
Aloe davyana,Asphodelaceae,1
Andropogon chinensis,Poaceae,87
Andropogon schirensis,Poaceae,87
Anthospermum hispidulum,Rubiaceae,14
Aristea torulosa,Iridaceae,3
Aristida adscensionis,Poaceae,87
Aristida aequiglumis,Poaceae,87
Aristida canescens,Poaceae,87
Aristida congesta,Poaceae,87
Aristida diffusa,Poaceae,87
Aristida junciformis,Poaceae,87
Aristida meridionalis,Poaceae,87
Aristida spectabilis,Poaceae,87
Aristida stipitata,Poaceae,87
Aristida transvaalense,Poaceae,87
Asclepias stelifera,Apocynaceae,9
Asparagus flavicaulis,Asparagaceae,17
Asparagus laricinus,Asparagaceae,17
Asparagus setaceus,Asparagaceae,17
Asparagus suaveolens,Asparagaceae,17
Barleria crossandriformis,Acanthaceae,19
Barleria heterotricha,Acanthaceae,19
Barleria macrostegia,Acanthaceae,19
Bauhinia petersiana,Fabaceae,53
Bergia decumbescens,Elatinaceae,1
Berkheya insignis,Asteraceae,29
Bidens bipinnata,Asteraceae,29
Blepharis maderaspatensis,Acanthaceae,19
Blepharis subvolubilis,Acanthaceae,19
Boophone discticha,Amaryllidaceae,3
Brachiaria brizantha,Poaceae,87
Brachiaria nigropedata,Poaceae,87
Brachiaria serrata,Poaceae,87
Bulbostylis burchellii,Cyperaceae,12
Burkea africana,Fabaceae,53
Campuloclinium macrocephalum,Asteraceae,29
Cardiospermum halicacabum,Sapindaceae,2
Cenchrus ciliaris,Poaceae,87
Chamaecrista absus,Fabaceae,53
Chamaecrista capensis,Fabaceae,53
Chamaecrista comosa,Fabaceae,53
Chamaecrista mimosoides,Fabaceae,53
Cheilanthes viridis,Pteridaceae,2
Chenopodium carinatum,Amaranthaceae,5
Chloris gayana,Poaceae,87
Chloris virgata,Poaceae,87
Chlorophytum cooperi,Asparagaceae,17
Chlorophytum recurvifolium,Asparagaceae,17
Chorisochora transvaalensis,Acanthaceae,19
Chrysopogon serrulatus,Poaceae,87
Clematis brachiata,Ranunculaceae,2
Cleome maculata,Cleomaceae,2
Cleome rubella,Cleomaceae,2
Combretum apiculatum,Combretaceae,10
Combretum hereroense,Combretaceae,10
Combretum microphyllum,Combretaceae,10
Combretum molle,Combretaceae,10
Combretum nelsonii,Combretaceae,10
Combretum zeyheri,Combretaceae,10
Commelina africana,Commelinaceae,4
Commelina benghalensis,Commelinaceae,4
Commelina erecta,Commelinaceae,4
Commiphora africana,Burseraceae,4
Commiphora schimperi,Burseraceae,4
Convolvulus sagittatus,Convolvulaceae,7
Corchorus asplenifolius,Malvaceae,29
Corchorus kirkii,Malvaceae,29
Cordylostigma longifolium,Rubiaceae,14
Cordylostigma virgatum,Rubiaceae,14
Crabbea angustifolia,Acanthaceae,19
Crabbea hirsuta,Acanthaceae,19
Crassula lanceolata,Crassulaceae,3
Crepidorhopalon debilis,Linderniaceae,2
Crossandra greenstockii,Acanthaceae,19
Crotalaria lotoides,Fabaceae,53
Crotalaria sphaerocarpa,Fabaceae,53
Croton gratissimus,Euphorbiaceae,7
Cryptolepis oblongifolia,Apocynaceae,9
Cyanotis lapidosa,Commelinaceae,4
Cymbapogon nardus,Poaceae,87
Cymbopogon pospischilii,Poaceae,87
Cynodon dactylon,Poaceae,87
Cyperus congestus,Cyperaceae,12
Cyperus cristatus,Cyperaceae,12
Cyperus cyperoides,Cyperaceae,12
Cyperus denudatus,Cyperaceae,12
Cyperus erectus,Cyperaceae,12
Cyperus esculentus,Cyperaceae,12
Cyperus margaritaceus,Cyperaceae,12
Cyperus polystachyos,Cyperaceae,12
Cyperus rupestris,Cyperaceae,12
Cyperus shinzii,Cyperaceae,12
Cyperus squarrosus,Cyperaceae,12
Cyphostemma lanigerum,Vitaceae,2
Dactyloctenium aegyptium,Poaceae,87
Dicerocarym senecioides,Pedaliaceae,2
Dichapetalum cymosum,Dichapetalaceae,1
Dichrostachys cinerea,Fabaceae,53
Dicliptera clinopodia,Acanthaceae,19
Dicoma anomala,Asteraceae,29
Digitaria eriantha,Poaceae,87
Digitaria longiflora,Poaceae,87
Digitaria monodactyla,Poaceae,87
Diheteropogon amplectens,Poaceae,87
Diospsyrus pyroides,Ebenaceae,6
Diospyros lycioides,Ebenaceae,6
Dipcadi viride,Asparagaceae,17
Diplorhynchus condylocarpon,Apocynaceae,9
Dombeya rotundifolia,Malvaceae,29
Drimiopsis burkei,Asparagaceae,17
Dyschoriste setigera,Acanthaceae,19
Ehretia rigida,Boraginaceae,3
Elephantorrhiza elephantina,Fabaceae,53
Elionurus muticus,Poaceae,87
Emilia transvaalensis,Asteraceae,29
Endostemon tereticaulis,Lamiaceae,13
Enneapogon cenchroides,Poaceae,87
Enneapogon desvauxii,Poaceae,87
Enneapogon pretoriensis,Poaceae,87
Eragrostis acraea,Poaceae,87
Eragrostis barbinodis,Poaceae,87
Eragrostis capensis,Poaceae,87
Eragrostis chloromelas,Poaceae,87
Eragrostis curvula,Poaceae,87
Eragrostis cylindriflora,Poaceae,87
Eragrostis diffusa,Poaceae,87
Eragrostis gummiflua,Poaceae,87
Eragrostis heteromera,Poaceae,87
Eragrostis japonica,Poaceae,87
Eragrostis lehmanniana,Poaceae,87
Eragrostis nindensis,Poaceae,87
Eragrostis racemosa,Poaceae,87
Eragrostis rigidior,Poaceae,87
Eragrostis trichophora,Poaceae,87
Eriospermum flagelliforme,Asparagaceae,17
Euclea crispa,Ebenaceae,6
Euclea linearis,Ebenaceae,6
Euclea natalensis,Ebenaceae,6
Euphorbia inaequilatera,Euphorbiaceae,7
Euphorbia nepolycnemoides,Euphorbiaceae,7
Euphorbia trichadenia,Euphorbiaceae,7
Euploca strigosa,Boraginaceae,3
Eustachys paspaloides,Poaceae,87
Evolvulus alsinoides,Convolvulaceae,7
Fadogia homblei,Rubiaceae,14
Faurea saligna,Proteaceae,2
