bare_ground,rock_cover,tsq_x_shrub,tsq_t_shrub,tsq_x_tree,tsq_t_tree,reproductive_height,bulk_density,leaf_size,hairs,width_cm,length_cm,height_cm,growth_form,life_form,growth_forms_per_plot,plot_ID,site_ID,species_per_plot,dominant_growth_form_plot,forbs_per_plot,graminoids_per_plot
50,0,130,5,60,250,43.25,low,Macro,absent,38.6785714285714,58.5357142857143,49.3214285714286,Straight forb,Forb,6,SU_S02_P02,SU_S02,14,Sparse upward graminoid,9,2
30,0,20,20,660,165,70.25,low,Thick linear,absent,18.6538461538462,24.5384615384615,33.3846153846154,Straight forb,Forb,7,DA_S04_P05,DA_S04,13,Shrub single-stemmed,6,5
20,15,180,202,277,400,36.0588235294118,low,Thin linear,absent,8.92857142857143,12.3333333333333,12.5952380952381,Round forb,Graminoid,8,AN_S03_P01,AN_S03,21,Relaxed tussock graminoid,9,12
20,10,70,135,1230,1640,56.7916666666667,low,Macro,absent,19.5263157894737,25.6842105263158,27.4473684210526,Straight forb,Forb,7,SY_S02_P01,SY_S02,19,Round forb,12,7
85,0,205,70,110,300,27.3888888888889,low,Macro,absent,10.1538461538462,17.2307692307692,19.1153846153846,Straight forb,Forb,5,AN_S03_P05,AN_S03,13,Sparse upward graminoid,6,5
65,15,84,88,534,136,34.7647058823529,low,Macro,absent,13.6086956521739,21.1521739130435,20.5434782608696,Straight forb,Forb,7,DA_S01_P02,DA_S01,23,Straight forb,12,8
70,0,40,76,237,85,22.1,low,Micro,absent,12.1923076923077,18.3461538461538,30.6153846153846,Straight forb,Forb,4,DA_S01_P04,DA_S01,13,Shrub multi-stemmed,8,2
5,0,590,60,940,660,55,low,Thin linear,absent,8.40625,13.78125,23.3125,Round forb,Forb,6,SY_S05_P03,SY_S05,16,Angry tussock graminoid,11,4
20,20,105,95,230,250,51.7,low,Macro,absent,14.1052631578947,19.2631578947368,16.8947368421053,Straight forb,Forb,9,AN_S03_P03,AN_S03,19,Sparse upward graminoid,11,7
70,0,40,53,300,92,31.1176470588235,low,Thin linear,absent,12.6739130434783,17.8913043478261,22.1086956521739,Sparse upward graminoid,Forb,8,AN_S05_P02,AN_S05,23,Sparse upward graminoid,10,10
40,5,10,35,320,200,36.8666666666667,low,Thin linear,absent,8.26315789473684,12.9473684210526,18.8684210526316,Sparse upward graminoid,Graminoid,5,AN_S05_P05,AN_S05,19,Sparse upward graminoid,7,10
5,0,36,208,1205,1510,55.6,medium,Thin linear,absent,14.40625,20.28125,24,Straight forb,Graminoid,8,SY_S01_P01,SY_S01,16,Relaxed tussock graminoid,7,8
20,0,60,60,170,50,57.3333333333333,low,Macro,absent,18.7666666666667,24.2333333333333,23.0666666666667,Straight forb,Graminoid,8,SY_S01_P04,SY_S01,15,Sparse upward graminoid,6,7
15,0,80,40,190,30,72.3333333333333,medium,Thin linear,absent,24.2142857142857,33.8571428571429,28.2857142857143,Sparse upward graminoid,Graminoid,6,SY_S01_P05,SY_S01,7,Angry tussock graminoid,1,5
5,0,130,310,910,300,70,low,Macro,both,11.8333333333333,23.5833333333333,24.5,Round forb,Forb,6,MA_S02_P03,MA_S02,12,Large graminoid,7,5
50,0,74,110,290,230,41.6666666666667,low,Thin linear,both,16.7,24.6666666666667,20.7666666666667,Relaxed tussock graminoid,Forb,7,MA_S01_P02,MA_S01,15,Relaxed tussock graminoid,7,7
