reserve,canopy_height_cv_1000,canopy_height_sd_1000,canopy_height_mean_1000,canopy_height_mean,elevation_cv_1000,elevation_sd_1000,elevation_mean,MAT,MAP,tree_cover_cv_1000,tree_cover_sd_1000,tree_cover_mean_1000,tree_cover_mean,reiner_tree_cover_reserve,fire_events_since_2001,max_species_body_mass,mean_species_body_mass,median_species_body_mass,CW_max_species_body_mass,CW_mean_species_body_mass,CW_median_species_body_mass,herbi_fun_red,herbi_fun_div_distq1,herbi_fun_ent,n_species_reserve,n_herbi_sp_reserve,browser_biomass_ha,grazer_biomass_ha,mixed_feeder_biomass_ha,grazer_browser_ratio,grazer_mixed_ratio,browser_mixed_ratio,herbi_biomass_ha,prop_biomass_w_occasional_predator,prop_biomass_w_regular_predator,prop_species_w_occasional_predator,prop_species_w_regular_predator,predator_biomass_ha,area_ha,browser_mf_FD_q1,browser_mf_nb_fe,browser_mf_nb_sp,browser_mf_fred,browser_mf_fored,browser_mf_fvuln,grazer_mf_FD_q1,grazer_mf_nb_fe,grazer_mf_nb_sp,grazer_mf_fred,grazer_mf_fored,grazer_mf_fvuln
Lapalala,102.511068842129,14.809822407515,16.2955201355618,16.1448241883525,1.93736064024901,21.95960071031,1152.99576398859,19.6541353383459,520.843233082707,67.5424395545213,31.7523404467577,53.5547223357993,53.1353928152085,7.4098325747409,0.452069716775599,4400,669.626280952381,210.0003,740.738798936053,71.8404867990918,11.678943354636,1.35714285714286,3.55772582650334,14,21,19,5.64980354160668,19.8187800954979,10.373843866537,3.50787066303227,1.91045675551639,0.5446200669967,35.8424275036415,0.920352898282822,0.557690587567269,0.947368421052632,0.736842105263158,,41614.9184867299,2.80172489321195,14,19,1.35714285714286,0.206766917293233,0.785714285714286,3.16077452727737,14,19,1.35714285714286,0.206766917293233,0.785714285714286
Jembisa,190.862063250561,14.4360646416668,11.4402679167594,9.25270498572096,1.25837830791496,15.1352482783628,1214.50542091837,19.0532258064516,544.487096774193,135.043752034254,30.7972036528431,33.4524348437188,29.348488427022,9.66134054603659,0,899.9948,227.851292307692,171.0015,208.71160918001,36.7941688851553,4.72289453213477,1.33333333333333,2.75912267063418,9,13,12,15.0382760733348,18.3901062706447,17.0493672201381,1.22288659823536,1.078638639968,0.882043062312141,50.4777495641175,0.768096872137472,0.0917123446606389,0.916666666666667,0.333333333333333,,2306.50639946047,1.77776532842116,9,12,1.33333333333333,0.194444444444444,0.777777777777778,2.59369838752513,9,12,1.33333333333333,0.194444444444444,0.777777777777778
Willowisp,112.19810766702,20.7371736507006,18.8713337020251,14.9753596097219,1.31283558980454,15.2905585121331,1167.47256097561,19.45,573.25,75.588229448763,36.8971803399455,49.6728094922281,46.7814467834272,7.38139941469347,0,82.5,67.50005,67.50005,50.4166293210153,35.4166793210153,35.4166793210153,1,1.95081782534577,2,2,2,0,0.513336337661893,0.326669200737977,,1.57142557823699,0,0.84000553839987,,,0,0,,241.070017687911,1,2,2,1,0,1,1.95081782534577,2,2,1,0,1
Syringa Sands,191.207167067909,15.1890141727249,10.3842044649784,7.06305930824119,1.89528263766008,27.9319210780563,1477.55600200904,17.3595238095238,712.32380952381,139.139348088064,30.8762488370103,29.9521602882498,24.0328900011491,3.83472197969417,1.93846153846154,899.9948,232.897369230769,175,195.654242963474,30.0747752696515,4.61606176899725,1.85714285714286,2.89982151489197,7,13,13,17.9551137480189,10.0237367579162,14.4000415829744,0.558266402462761,0.696090820304822,1.24687929854646,42.3788920889096,,,0,0,,1465.31970608668,2.46131006565465,7,13,1.85714285714286,0.263736263736264,0.571428571428571,2.76567185199801,7,13,1.85714285714286,0.263736263736264,0.571428571428571
Summerplace,242.548826861669,7.93661817940725,4.22922780233155,4.20972629979249,1.11939791149302,15.5909396920288,1391.78907080587,18.1277777777778,627.202222222222,170.804966707159,24.2263481211755,18.4590695477376,18.7109138042235,8.63556983716675,0.131578947368421,900,289.754421428571,194.99965,458.949241454299,46.9752879093927,4.46227901240234,1.55555555555556,2.13266273961657,9,14,14,15.3167895818408,18.8473296366102,60.0530323296401,1.2305013094229,0.3138447619623,0.255054390888451,94.2171515480911,,,0,0,,3465.46981770449,1.4258678071997,9,14,1.55555555555556,0.238095238095238,0.666666666666667,1.93329468251933,9,14,1.55555555555556,0.238095238095238,0.666666666666667
Dabchick,348.527293437741,12.3955621432839,7.16883645948781,8.84879695766905,1.43017105774147,19.2185754260469,1295.59985369422,18.59,610.626666666667,260.924011074875,27.9156632627005,22.9037597127592,26.8757203679791,4.53432966711733,2.04545454545455,2949.9863,381.869727777778,173.00075,800.265206495181,61.0428083744711,1.53182828919956,1.8,3.34611827899761,10,18,18,29.0746750149747,122.177498646025,88.4774014313912,4.2021965364393,1.380889319413,0.328611312545389,239.729575092391,,,0,0,,997.94619836872,1.6988041900861,10,18,1.8,0.266666666666667,0.6,3.08945342336716,10,18,1.8,0.266666666666667,0.6
Ant's Farm,139.49330723295,10.8082090307608,8.39175646916071,8.4050751129026,1.52759386698602,20.6104910291192,1331.66830559758,18.4598039215687,555.149019607843,99.2623496455556,33.3514262246771,36.4476221225286,36.9811814423356,9.53985622270665,0.0232558139534884,2949.9863,361.582675,173.00075,340.996692857453,37.2006873950555,2.53501370312689,1.58333333333333,3.37717422200011,12,20,19,17.6354857590638,37.2739979241642,23.7649168917194,2.11357931578421,1.56844638228682,0.742080683026024,78.6744005749473,0.722773776343859,0.105428962853224,0.894736842105263,0.368421052631579,,3892.58078500721,1.80422958002283,12,19,1.58333333333333,0.245614035087719,0.666666666666667,3.24241108968599,12,19,1.58333333333333,0.245614035087719,0.666666666666667
Kaingo,254.491270795746,8.21985286252102,6.78749305463393,6.31652035101584,1.86948332956514,21.2342265924261,1098.87230150018,20.2402439024391,466.56487804878,189.827302039672,24.3403636893111,27.0837899182125,25.646682888026,3.54814079594968,0.495091164095372,4400,605.968671428571,175,737.226700631312,87.1844239519192,4.34533375867817,1.5,3.70094046027746,12,21,18,7.15992770894301,21.3648122112838,17.1586597019381,2.98394244743538,1.24513292893562,0.417277796361582,45.6833996221649,0.832448477129247,0.542723196246555,0.944444444444444,0.777777777777778,,16095.479268046,3.01071402609606,12,18,1.5,0.25,0.75,3.31551035342194,12,18,1.5,0.25,0.75
Swebeswebe,92.7598928272248,12.8397096800057,14.5374837933333,14.8795721405295,2.18639654734927,23.4985371902084,1089.08052686724,20.2604477611941,531.476119402985,59.2122735197465,32.0672854847365,57.1524547960349,58.2350175903454,3.11769971618667,0,900,316.369390909091,179.999,398.419113880161,49.330569980749,5.31219582684553,1.22222222222222,2.70922345254394,9,11,11,19.0730544794351,8.7908133244825,34.0128509773965,0.460902229056226,0.258455644612812,0.560760240066624,61.8767187813141,,,0,0,,4928.43277417115,2.02647482845617,9,11,1.22222222222222,0.141414141414141,0.777777777777778,2.09970931930272,9,11,1.22222222222222,0.141414141414141,0.777777777777778
Marakele,88.6224167241176,15.563448526689,23.1593866502085,19.4078461277863,0.284359630286911,2.96136835494836,1037.92429857067,20.6794117647059,550.129411764706,54.6565366041912,25.681487299118,57.9074453414217,54.8902210395765,5.73416553847787,0,82.5,82.5,82.5,82.5,82.5,82.5,1,1,1,1,1,0,0.0900240057874306,0,,,,0.0900240057874306,,,0,0,,1374.63334271311,,,,,,,1,1,1,1,0,1
