plot_ID,species,cover_percent,life_form,growth_form,height_cm,length_cm,width_cm,spinescence,n_spines,hairs,leaf_size,bulk_density,cageyness,woody_diameter,woody_n_stems,reproductive_height,specimen_notes,reserve,site_ID,time,date,weather,megafauna_presence,topographic_position,bare_ground,rock_cover,tsq_x_shrub,tsq_t_shrub,tsq_x_tree,tsq_t_tree,camera_ID,notes,identification,species_per_reserve,species_per_plot,species_per_site,growth_forms_per_site,growth_forms_per_plot
SU_S02_P02,Abutilon angulatum,1,Forb,rf (Round forb),11,14,13.5,Absent,,both,Macro,medium,Not cagey,,"",,"",Summerplace,SU_S02,8:53,02/03/2024,Sunny,"",Slightly sloped,50,0,130,5,60,250,"",Shaded,species_level,132,14,47,10,6
DA_S04_P05,Acanthaceae sp,1,Forb,sf (Straight forb),20,4,2.5,Absent,,stems,Macro,low,Not cagey,,"",,"",Dabchick,DA_S04,10:00,07/03/2024,Overcast,Droppings nearby,Flat,30,0,20,20,660,165,"",Very sandy soil,higher_level,145,13,34,8,7
AN_S03_P01,Acanthaceae sp,1,Forb,sst (Tree single-stemmed),9,6,3,Absent,,leaves,Macro,medium,Not cagey,,"",30,"",Ant's Farm,AN_S03,11:50,10/03/2024,"Sunny, hot",Some browsing,Flat,20,15,180,202,277,400,"","",higher_level,136,21,53,12,8
SY_S02_P01,Acanthospermum australe,10,Forb,cf (Creeping forb),32,45,40,Absent,,stems,Macro,low,Not cagey,,"",27,"",Syringa Sands,SY_S02,7:22,28/02/2024,"Overcast, cold",Lots of small antelope droppings,Flat,20,10,70,135,1230,1640,"","",species_level,122,19,51,13,7
AN_S03_P05,Achyranthes aspera,1,Forb,sf (Straight forb),6,5,3,Absent,,absent,Macro,low,Not cagey,,"",7.5,"",Ant's Farm,AN_S03,15:16,10/03/2024,Sunny,Antelope droppings in plot,Flat,85,0,205,70,110,300,"","",species_level,136,13,53,12,5
DA_S01_P02,Achyropsis leptostachya,1,Forb,sf (Straight forb),16.5,3,1.5,Absent,,leaves,Macro,low,Not cagey,,"",7,"",Dabchick,DA_S01,14:23,05/03/2024,"Sunny, very windy ",Old droppings,Slightly sloped,65,15,84,88,534,136,"","",species_level,145,23,58,10,7
DA_S01_P04,Achyropsis leptostachya,1,Forb,sf (Straight forb),23,1.5,1.5,Absent,,leaves,Micro,low,Not cagey,,"",23.5,"",Dabchick,DA_S01,16:27,05/03/2024,"Overcast, thunder",Droppings in plot,Flat,70,0,40,76,237,85,"","",species_level,145,13,58,10,4
SY_S05_P03,Acokanthera oppositifolia,1,Shrub,mss (Shrub multi-stemmed),39,25,16,Absent,,absent,Micro,low,Not cagey,0.2,3,,"",Syringa Sands,SY_S05,8:16,29/02/2024,Overcast,"",Slightly sloped,5,0,590,60,940,660,"","",species_level,122,16,42,8,6
AN_S03_P03,Acokanthera oppositifolia,1,Forb,sf (Straight forb),7,5,4,Absent,,absent,Macro,high,Not cagey,,"",,"",Ant's Farm,AN_S03,13:46,10/03/2024,"Sunny, hot",Antelope droppings in plot,Slightly sloped,20,20,105,95,230,250,ECO_33,"",species_level,136,19,53,12,9
AN_S05_P02,Acokanthera oppositifolia,1,Forb,rf (Round forb),13,19,9,Absent,,absent,Macro,low,Not cagey,,"",,"",Ant's Farm,AN_S05,13:22,11/03/2024,"Hot, sunny, windy",No obvious signs,Flat,70,0,40,53,300,92,"",Very sandy soil,species_level,136,23,55,11,8
