plot_ID,site_ID,reserve,species_richness_plot,species_richness_site,species_richness_reserve,forb_richness_plot,forb_richness_site,forb_richness_reserve,graminoid_richness_plot,graminoid_richness_site,graminoid_richness_reserve,woody_richness_plot,woody_richness_site,woody_richness_reserve
SU_S02_P02,SU_S02,Summerplace,14,47,132,9,29,75,2,13,44,11,15,38
DA_S04_P05,DA_S04,Dabchick,13,34,145,6,17,89,5,14,42,,7,33
AN_S03_P01,AN_S03,Ant's Farm,21,53,136,9,25,73,12,24,48,10,21,37
SY_S02_P01,SY_S02,Syringa Sands,19,51,122,12,23,68,7,20,41,6,16,29
AN_S03_P05,AN_S03,Ant's Farm,13,53,136,6,25,73,5,24,48,,21,37
DA_S01_P02,DA_S01,Dabchick,23,58,145,12,26,89,8,20,42,13,22,33
DA_S01_P04,DA_S01,Dabchick,13,58,145,8,26,89,2,20,42,17,22,33
SY_S05_P03,SY_S05,Syringa Sands,16,42,122,11,25,68,4,15,41,9,16,29
AN_S03_P03,AN_S03,Ant's Farm,19,53,136,11,25,73,7,24,48,5,21,37
AN_S05_P02,AN_S05,Ant's Farm,23,55,136,10,26,73,10,20,48,12,22,37
AN_S05_P05,AN_S05,Ant's Farm,19,55,136,7,26,73,10,20,48,,22,37
SY_S01_P01,SY_S01,Syringa Sands,16,44,122,7,19,68,8,19,41,3,9,29
SY_S01_P04,SY_S01,Syringa Sands,15,44,122,6,19,68,7,19,41,4,9,29
SY_S01_P05,SY_S01,Syringa Sands,7,44,122,1,19,68,5,19,41,,9,29
MA_S02_P03,MA_S02,Marakele,12,40,97,7,20,54,5,16,25,4,11,43
MA_S01_P02,MA_S01,Marakele,15,44,97,7,27,54,7,12,25,20,27,43
MA_S02_P05,MA_S02,Marakele,15,40,97,9,20,54,6,16,25,,11,43
MA_S01_P05,MA_S01,Marakele,20,44,97,11,27,54,6,12,25,,27,43
MA_S03_P03,MA_S03,Marakele,17,30,97,5,17,54,8,9,25,11,18,43
MA_S03_P04,MA_S03,Marakele,8,30,97,5,17,54,3,9,25,7,18,43
MA_S04_P05,MA_S04,Marakele,15,37,97,8,23,54,6,12,25,,20,43
LA_S05_P04,LA_S05,Lapalala,9,29,88,4,12,52,5,14,28,1,9,40
WI_S01_P02,WI_S01,Willowisp,19,58,108,13,35,63,6,18,27,9,20,38
SY_S05_P01,SY_S05,Syringa Sands,12,42,122,8,25,68,4,15,41,7,16,29
LA_S01_P01,LA_S01,Lapalala,9,32,88,2,21,52,5,9,28,9,16,40
LA_S02_P04,LA_S02,Lapalala,15,32,88,6,15,52,9,15,28,4,22,40
LA_S03_P02,LA_S03,Lapalala,13,45,88,6,21,52,7,19,28,5,18,40
LA_S03_P04,LA_S03,Lapalala,21,45,88,12,21,52,6,19,28,9,18,40
LA_S03_P05,LA_S03,Lapalala,11,45,88,5,21,52,5,19,28,,18,40
JE_S01_P01,JE_S01,Jembisa,11,30,102,8,20,64,3,9,31,4,10,35
JE_S01_P05,JE_S01,Jembisa,13,30,102,8,20,64,4,9,31,,10,35
JE_S01_P03,JE_S01,Jembisa,13,30,102,7,20,64,5,9,31,7,10,35
JE_S02_P02,JE_S02,Jembisa,15,42,102,8,23,64,5,16,31,8,22,35
JE_S02_P04,JE_S02,Jembisa,11,42,102,4,23,64,7,16,31,10,22,35
JE_S05_P01,JE_S05,Jembisa,14,38,102,7,18,64,7,14,31,2,10,35
JE_S04_P02,JE_S04,Jembisa,13,47,102,8,30,64,4,15,31,9,16,35
JE_S04_P04,JE_S04,Jembisa,18,47,102,10,30,64,8,15,31,5,16,35
JE_S05_P04,JE_S05,Jembisa,14,38,102,4,18,64,6,14,31,3,10,35
WI_S01_P03,WI_S01,Willowisp,20,58,108,11,35,63,6,18,27,11,20,38
SU_S02_P05,SU_S02,Summerplace,10,47,132,6,29,75,3,13,44,,15,38
SU_S03_P04,SU_S03,Summerplace,15,34,132,8,16,75,7,15,44,8,9,38
SU_S04_P04,SU_S04,Summerplace,11,52,132,5,23,75,6,21,44,24,27,38
DA_S03_P04,DA_S03,Dabchick,15,51,145,8,31,89,6,16,42,6,10,33
DA_S02_P04,DA_S02,Dabchick,7,43,145,4,24,89,2,16,42,4,11,33
DA_S02_P02,DA_S02,Dabchick,19,43,145,10,24,89,8,16,42,6,11,33
DA_S02_P03,DA_S02,Dabchick,18,43,145,8,24,89,9,16,42,4,11,33
DA_S03_P05,DA_S03,Dabchick,18,51,145,10,31,89,8,16,42,,10,33
DA_S04_P01,DA_S04,Dabchick,13,34,145,5,17,89,6,14,42,6,7,33
DA_S04_P03,DA_S04,Dabchick,13,34,145,7,17,89,5,14,42,3,7,33
DA_S04_P04,DA_S04,Dabchick,9,34,145,3,17,89,4,14,42,4,7,33
AN_S02_P02,AN_S02,Ant's Farm,13,39,136,4,16,73,7,15,48,10,17,37
KA_S01_P04,KA_S01,Kaingo,14,24,81,8,11,48,6,11,20,3,16,38
KA_S01_P05,KA_S01,Kaingo,7,24,81,2,11,48,5,11,20,,16,38
SW_S04_P05,SW_S04,Swebeswebe,16,32,91,8,20,57,6,9,25,,15,37
AN_S04_P02,AN_S04,Ant's Farm,21,51,136,12,29,73,9,18,48,11,18,37
KA_S05_P05,KA_S05,Kaingo,19,39,81,10,23,48,7,10,20,,20,38
SU_S01_P01,SU_S01,Summerplace,18,54,132,11,29,75,5,18,44,6,16,38
SU_S04_P05,SU_S04,Summerplace,13,52,132,3,23,75,5,21,44,,27,38
LA_S03_P03,LA_S03,Lapalala,9,45,88,2,21,52,7,19,28,8,18,40
LA_S05_P01,LA_S05,Lapalala,8,29,88,2,12,52,5,14,28,4,9,40
WI_S05_P04,WI_S05,Willowisp,14,36,108,8,22,63,6,10,27,5,21,38
SY_S04_P05,SY_S04,Syringa Sands,18,42,122,12,24,68,4,14,41,,13,29
DA_S05_P05,DA_S05,Dabchick,21,55,145,11,31,89,8,21,42,,15,33
KA_S03_P02,KA_S03,Kaingo,9,23,81,5,14,48,3,7,20,6,9,38
KA_S02_P01,KA_S02,Kaingo,11,18,81,4,9,48,6,7,20,6,11,38
SW_S02_P02,SW_S02,Swebeswebe,6,36,91,3,23,57,3,9,25,10,26,37
SY_S02_P03,SY_S02,Syringa Sands,15,51,122,7,23,68,4,20,41,10,16,29
SY_S04_P02,SY_S04,Syringa Sands,12,42,122,2,24,68,8,14,41,3,13,29
SU_S04_P01,SU_S04,Summerplace,18,52,132,6,23,75,12,21,44,11,27,38
SU_S04_P03,SU_S04,Summerplace,19,52,132,9,23,75,7,21,44,8,27,38
MA_S02_P04,MA_S02,Marakele,16,40,97,11,20,54,5,16,25,5,11,43
SY_S01_P03,SY_S01,Syringa Sands,18,44,122,10,19,68,6,19,41,4,9,29
DA_S05_P04,DA_S05,Dabchick,21,55,145,13,31,89,7,21,42,10,15,33
DA_S05_P03,DA_S05,Dabchick,22,55,145,12,31,89,10,21,42,4,15,33
SW_S01_P04,SW_S01,Swebeswebe,11,30,91,6,17,57,5,12,25,2,8,37
JE_S02_P01,JE_S02,Jembisa,18,42,102,9,23,64,8,16,31,13,22,35
SU_S02_P04,SU_S02,Summerplace,14,47,132,7,29,75,6,13,44,7,15,38
DA_S01_P01,DA_S01,Dabchick,25,58,145,13,26,89,7,20,42,17,22,33
SU_S03_P01,SU_S03,Summerplace,16,34,132,8,16,75,7,15,44,1,9,38
LA_S01_P02,LA_S01,Lapalala,15,32,88,9,21,52,6,9,28,6,16,40
LA_S01_P04,LA_S01,Lapalala,13,32,88,10,21,52,3,9,28,6,16,40
LA_S01_P05,LA_S01,Lapalala,11,32,88,6,21,52,5,9,28,,16,40
LA_S02_P01,LA_S02,Lapalala,12,32,88,6,15,52,5,15,28,4,22,40
