plot_ID,reserve,site_ID,time,date,weather,megafauna_presence,topographic_position,bare_ground,rock_cover,tsq_x_shrub,tsq_t_shrub,tsq_x_tree,tsq_t_tree,camera_ID,notes
LA_S01_P01,Lapalala,LA_S01,8:26,15/02/2024,"Sunny, no clouds","Impala poop x 2, spoor",Flat,25,0,240,240,840,230,,
LA_S01_P02,Lapalala,LA_S01,12:22,15/02/2024,"Sunny, no clouds",No obvious signs,Flat,40,0,280,230,470,280,,
LA_S01_P03,Lapalala,LA_S01,14:23,15/02/2024,"Sunny, no clouds",,Flat,5,40,150,260,125,210,ECO_01,shaded
LA_S02_P01,Lapalala,LA_S02,8:00,16/02/2024,"Sunny, no clouds",No obvious signs,Flat,45,5,101,190,900,470,,
LA_S02_P02,Lapalala,LA_S02,9:19,16/02/2024,"Sunny, no clouds",Old feces ,Flat,30,20,250,110,500,110,,
LA_S02_P03,Lapalala,LA_S02,10:35,16/02/2024,"Sunny, no clouds",No obvious signs,Flat,30,20,390,400,420,710,ECO_05,
LA_S02_P04,Lapalala,LA_S02,,16/02/2024,"Sunny, no clouds",Elephant dung,Flat,10,5,120,100,450,130,,
LA_S02_P05,Lapalala,LA_S02,13:00,16/02/2024,"Sunny, no clouds",No obvious signs,Flat,35,5,170,140,300,610,,
LA_S01_P04,Lapalala,LA_S01,15:09,16/02/2024,"Sunny, no clouds",No obvious signs,Flat,46,0,160,70,580,180,,
LA_S01_P05,Lapalala,LA_S01,16:00,16/02/2024,"Sunny, no clouds",No obvious signs,Flat,60,0,780,300,715,610,,
LA_S03_P01,Lapalala,LA_S03,9:32,17/02/2024,"Sunny, hot, windy",No obvious signs,Flat,50,0,250,190,350,260,,
LA_S03_P02,Lapalala,LA_S03,11:39,17/02/2024,"Sunny, hot, windy",No obvious signs,Flat,75,0,220,180,430,570,,
LA_S03_P03,Lapalala,LA_S03,13:03,17/02/2024,"Sunny, hot, windy","Spoor, old rhino/elephant dung","Flat, slight slope",80,0,190,260,530,100,ECO_02,
LA_S03_P04,Lapalala,LA_S03,,17/02/2024,"Hot, cloudy",No obvious signs,Flat,25,0,180,,100,70,,Next to huge termite digging activity. Shaded. Old rhino footprints.
LA_S03_P05,Lapalala,LA_S03,16:30,17/02/2024,"Hot, cloudy","Tracks, elephant claws",Flat,10,0,110,70,130,370,,Some giraffe spoor. 30% covered by tree-growing ochird.
LA_S05_P05,Lapalala,LA_S05,16:29,18/02/2024,"sunny, hot, windy",Spoor,Flat,2,0,100,350,110,90,,
LA_S04_P01,Lapalala,LA_S04,7:32,18/10/2024,"Sunny, very windy",No obvious signs,Flat,50,0,100,160,90,190,,Burrow close to plot
LA_S04_P02,Lapalala,LA_S04,8:53,18/02/2024,"Sunny, windy",Spoor,Flat,40,0,58,116,170,110,,
LA_S04_P03,Lapalala,LA_S04,10:03,18/02/2024,"Sunny, windy",Dung,Flat,75,0,110,185,198,170,ECO_03,Animal diggings 0.5 m away
LA_S05_P01,Lapalala,LA_S05,13:29,18/02/2024,"Sunny, windy",,Flat,55,0,50,310,310,685,,
LA_S05_P02,Lapalala,LA_S05,14:18,18/02/2024,"Sunny, windy","Spoor, old dung",Flat,95,0,240,460,840,348,,
LA_S05_P03,Lapalala,LA_S05,15:05,18/02/2024,"Sunny, windy",Rhino and wildebeast dung,Flat,10,0,138,60,116,455,ECO_04,
