transect_ID,species,order_on_transect,height_class,growth_form_transect,n_stems,notes
LA_S02_T01,Gymnosporia buxifolia ,1,medium,multi-stemmed shrub,6,shrub 1
LA_S02_T01,Grewia flavescens,2,medium,single-stemmed shrub,1,
LA_S02_T01,Grewia flavescens,3,medium,multi-stemmed shrub,4,
LA_S02_T01,Grewia flavescens,4,medium,multi-stemmed shrub,15,shrub 2
LA_S02_T01,Grewia monticola,5,medium,single-stemmed shrub,1,shrub 3
LA_S02_T01,Pterocarpus rotundifolius,6,extremely tall,multi-stemmed tree,8,Calpurnia aurea
LA_S02_T02,Gymnosporia buxifolia ,1,tall,multi-stemmed shrub,5,shrub 1
LA_S02_T02,Gymnosporia buxifolia ,2,medium,multi-stemmed shrub,2,
LA_S02_T02,Combretum apiculatum,3,tall,single-stemmed shrub,1,
LA_S02_T02,Gymnosporia buxifolia ,4,medium,multi-stemmed shrub,2,
LA_S02_T02,Diplorhynchus condylocarpon,5,extremely tall,multi-stemmed tree,10,Calpurnia aurea
LA_S02_T02,Strychnos madagascariensis,6,tall,multi-stemmed shrub,2,shrub 2
LA_S02_T02,Combretum molle,7,extremely tall,single-stemmed tree,1,tree 2
LA_S02_T02,Mundulea sericea,8,tall,single-stemmed shrub,1,
LA_S02_T02,Ehretia rigida,9,medium,multi-stemmed shrub,3,shrub 3
LA_S02_T02,Croton gratissimus,10,tall,single-stemmed shrub,1,
LA_S02_T02,Grewia monticola,11,tall,multi-stemmed shrub,3,
LA_S02_T02,Combretum apiculatum,12,tall,single-stemmed shrub,1,
LA_S02_T02,Ehretia rigida,13,small,multi-stemmed shrub,6,
LA_S02_T02,Combretum molle,14,small,single-stemmed shrub,1,
LA_S02_T02,Ximenia caffra,15,extremely tall,multi-stemmed tree,2,tree 3
LA_S02_T02,Mundulea sericea,16,tall,multi-stemmed shrub,3,
LA_S02_T02,Croton gratissimus,17,medium,multi-stemmed shrub,3,
LA_S02_T03,Combretum apiculatum,1,extremely tall,multi-stemmed tree,8,Calpurnia aurea
LA_S02_T03,Pavetta zeyheri,2,tall,multi-stemmed tree,2,
LA_S02_T03,Elephantorrhiza burkei,3,tall,multi-stemmed shrub,3,shrub 1
LA_S02_T03,Grewia flavescens,4,tall,multi-stemmed shrub,4,
LA_S02_T03,Ziziphus mucronata,5,extremely tall,multi-stemmed tree,2,
LA_S02_T03,Ziziphus mucronata,6,tall,single-stemmed tree,1,tree 2
LA_S02_T03,Combretum apiculatum,7,medium,single-stemmed tree,1,shrub 2
LA_S02_T03,Turrea obtusifolia,8,small,single-stemmed shrub,1,
LA_S02_T03,Vitex rehmannii,9,medium,single-stemmed shrub,1,tree 3
LA_S02_T03,Pterocarpus rotundifolius,10,extremely tall,multi-stemmed tree,4,
LA_S02_T03,Grewia monticola,11,small,single-stemmed shrub,2,
LA_S02_T03,Grewia rogersii,12,small,multi-stemmed shrub,20,shrub 3
LA_S02_T03,Grewia rogersii,13,medium,multi-stemmed shrub,20,
LA_S02_T03,Grewia rogersii,14,medium,multi-stemmed shrub,20,
LA_S02_T03,Combretum apiculatum,15,medium,single-stemmed shrub,1,
LA_S02_T03,Combretum molle,16,medium,multi-stemmed shrub,3,
LA_S02_T03,Grewia rogersii,17,medium,multi-stemmed shrub,20,
LA_S02_T03,Combretum molle,18,medium,multi-stemmed shrub,2,
LA_S02_T03,Terminalia sericea,19,extremely tall,multi-stemmed tree,4,
LA_S02_T03,Combretum zeyheri,20,extremely tall,multi-stemmed tree,3,
LA_S02_T03,Grewia rogersii,21,medium,multi-stemmed shrub,20,
LA_S02_T03,Euclea natalensis,22,small,multi-stemmed shrub,3,
LA_S02_T03,Terminalia brachystemma,23,small,multi-stemmed shrub,3,
LA_S02_T04,Diplorhynchus condylocarpon,1,small,multi-stemmed shrub,3,shrub 1
LA_S02_T04,Terminalia sericea,2,extremely tall,multi-stemmed tree,2,Calpurnia aurea
LA_S02_T04,Combretum molle,3,extremely tall,multi-stemmed tree,2,tree 2
LA_S02_T04,Combretum molle,4,tall,multi-stemmed tree,3,
LA_S02_T04,Terminalia sericea,5,extremely tall,single-stemmed tree,1,tree 3
LA_S02_T04,Elephantorrhiza burkei,6,tall,multi-stemmed shrub,3,
LA_S02_T04,Elephantorrhiza burkei,7,small,single-stemmed shrub,1,shrub 2
LA_S01_T01,Rhoicissus revoilii,1,medium,multi-stemmed shrub,10,shrub 1
LA_S01_T01,Gymnosporia buxifolia ,2,medium,multi-stemmed shrub,20,
LA_S01_T01,Combretum molle,3,small,single-stemmed shrub,1,
LA_S01_T01,Combretum apiculatum,4,medium,single-stemmed shrub,1,
LA_S01_T01,Grewia rogersii,5,medium,multi-stemmed shrub,3,
LA_S01_T01,Pterocarpus rotundifolius,6,medium,multi-stemmed shrub,5,
LA_S01_T01,Grewia rogersii,7,medium,multi-stemmed shrub,20,
LA_S01_T01,Combretum molle,8,small,single-stemmed shrub,1,
LA_S01_T01,Gymnosporia buxifolia,9,small,single-stemmed shrub,1,shrub 2
LA_S01_T01,Waltheria indica,10,small,multi-stemmed shrub,4,
LA_S01_T01,Combretum apiculatum,11,extremely tall,multi-stemmed tree,2,Calpurnia aurea
LA_S01_T01,Gymnosporia buxifolia ,12,small,multi-stemmed shrub,3,
LA_S01_T01,Gymnosporia buxifolia ,13,small,multi-stemmed shrub,5,
LA_S01_T01,Gymnosporia buxifolia ,14,small,multi-stemmed shrub,4,
LA_S01_T01,Combretum molle,15,extremely tall,multi-stemmed tree,4,tree 2
LA_S01_T01,Grewia rogersii,16,medium,multi-stemmed shrub,20,
LA_S01_T01,Vitex rehmannii,17,medium,multi-stemmed shrub,4,
LA_S01_T01,Gymnosporia buxifolia ,18,medium,multi-stemmed shrub,15,shrub 3
LA_S01_T01,Gymnosporia buxifolia ,19,medium,multi-stemmed shrub,4,
LA_S01_T01,Combretum molle,20,extremely tall,multi-stemmed tree,7,tree 3
LA_S01_T01,Gymnosporia buxifolia ,21,medium,multi-stemmed shrub,6,
LA_S01_T01,Dichrostachys cinerea,22,small,single-stemmed shrub,1,
LA_S01_T02,Combretum molle,1,small,multi-stemmed shrub,8,shrub 1
LA_S01_T02,Grewia rogersii,2,small,multi-stemmed shrub,20,shrub 2
LA_S01_T02,Gymnosporia buxifolia ,3,tall,multi-stemmed shrub,20,
LA_S01_T02,Grewia rogersii,4,medium,multi-stemmed shrub,20,
LA_S01_T02,Gymnosporia buxifolia ,5,medium,multi-stemmed shrub,9,
LA_S01_T02,Grewia rogersii,6,medium,multi-stemmed shrub,20,
LA_S01_T02,Grewia rogersii,7,medium,multi-stemmed shrub,20,Calpurnia aurea
LA_S01_T02,Combretum apiculatum,8,tall,multi-stemmed tree,6,
LA_S01_T02,Gymnosporia buxifolia ,9,medium,single-stemmed shrub,1,shrub 3
LA_S01_T02,Gymnosporia buxifolia ,10,medium,multi-stemmed shrub,3,
LA_S01_T02,Gymnosporia buxifolia ,11,medium,multi-stemmed shrub,3,
LA_S01_T02,Grewia rogersii,12,medium,multi-stemmed shrub,20,
LA_S01_T02,Combretum molle,13,tall,multi-stemmed tree,7,tree 2
LA_S01_T02,Terminalia sericea,14,medium,single-stemmed shrub,1,
LA_S01_T02,Vitex rehmannii,15,tall,single-stemmed shrub,1,
LA_S01_T02,Gymnosporia buxifolia ,16,tall,multi-stemmed shrub,20,
LA_S01_T02,Gymnosporia buxifolia ,17,tall,multi-stemmed shrub,10,
LA_S01_T02,Gymnosporia buxifolia ,18,medium,multi-stemmed shrub,5,
LA_S01_T02,Combretum apiculatum,19,tall,multi-stemmed shrub,3,
LA_S01_T02,Combretum molle,20,extremely tall,multi-stemmed tree,2,tree 3
LA_S01_T03,Combretum zeyheri,1,extremely tall,multi-stemmed tree,6,Calpurnia aurea
LA_S01_T03,Grewia rogersii,2,medium,multi-stemmed shrub,20,shrub 1
LA_S01_T03,Gymnosporia buxifolia ,3,medium,multi-stemmed shrub,93,
LA_S01_T03,Grewia rogersii,4,medium,multi-stemmed shrub,20,shrub 2
LA_S01_T03,Gymnosporia buxifolia ,  ,medium,multi-stemmed shrub,20,
LA_S01_T03,Vitex rehmannii,6,tall,multi-stemmed shrub,20,
LA_S01_T03,Gymnosporia buxifolia ,7,medium,multi-stemmed shrub,13,
LA_S01_T03,Strychnos pungens,8,small,single-stemmed shrub,1,
LA_S01_T03,Combretum molle,9,tall,multi-stemmed shrub,7,
LA_S01_T03,Peltophorum africanum,10,tall,multi-stemmed shrub,3,
LA_S01_T03,Lippia javanica,11,medium,single-stemmed shrub,1,
LA_S01_T03,Grewia rogersii,12,medium,multi-stemmed shrub,20,shrub 3
LA_S01_T03,Lannea discolor,13,small,single-stemmed shrub,1,
LA_S01_T03,Combretum molle,14,medium,multi-stemmed shrub,3,
LA_S01_T03,Grewia rogersii,15,medium,multi-stemmed shrub,20,
LA_S01_T03,Pterocarpus rotundifolius,16,tall,multi-stemmed shrub,6,
LA_S01_T03,Pterocarpus rotundifolius,17,tall,multi-stemmed shrub,7,
LA_S01_T03,Diplorhynchus condylocarpon,18,medium,multi-stemmed shrub,20,
LA_S01_T03,Combretum apiculatum,19,extremely tall,multi-stemmed tree,2,tree 2
LA_S01_T03,Gymnosporia buxifolia ,20,medium,multi-stemmed shrub,11,
LA_S01_T03,Grewia rogersii,21,small,multi-stemmed shrub,20,
